2024-03-21 10:16:56 - PHP Warning:  mysqli::query(): (42S02/1146): Table 'vaza.oc_testimonial' doesn't exist in D:\xampp\htdocs\vaza\upload\system\library\db\mysqli.php on line 25
2024-03-21 10:25:33 - PHP Warning:  Undefined array key "testimonial_id" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 71
2024-03-21 10:25:33 - PHP Warning:  Undefined array key "sort_order" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 73
2024-03-21 11:36:04 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 11:36:04 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 11:36:04 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 11:36:04 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 11:40:24 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 11:40:24 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 11:40:24 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 11:40:24 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 11:41:14 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 11:41:14 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 12:14:15 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 12:14:15 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 12:14:15 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:14:15 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:17:05 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-21 12:17:05 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-21 12:17:23 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-21 12:17:23 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-21 12:18:41 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 241
2024-03-21 12:18:41 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 241
2024-03-21 12:18:41 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:18:41 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:20:31 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 12:20:31 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 12:20:31 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:20:31 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:21:25 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:21:25 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:22:57 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 12:22:57 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 242
2024-03-21 12:22:57 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 242
2024-03-21 12:22:57 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:22:57 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-21 12:57:32 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 12:57:32 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 242
2024-03-21 12:57:32 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 242
2024-03-21 12:58:33 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 239
2024-03-21 12:58:33 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 242
2024-03-21 12:58:33 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 242
2024-03-21 13:18:32 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
2024-03-21 13:18:32 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
2024-03-21 13:19:20 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
2024-03-21 13:19:20 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
